Exercício: 2019
Período: 3o. quadrimestre
Escopo: Estados/DF
Anexo 05 - Demonstrativo da Disponibilidade de Caixa e dos Restos a Pagar
Tabela: Disponibilidade de Caixa
Instituição;Cod.IBGE;UF;PODER;População;Coluna;Conta;Identificador da Conta;Valor
Ministério Público do Estado de São Paulo;35;SP;Ministério Público;45538936;"DISPONIBILIDADE DE CAIXA LÍQUIDA (ANTES DA INSCRIÇÃO EM RESTOS A PAGAR NÃO PROCESSADOS DO EXERCÍCIO) (f)=(a-(b+c+d+e))";"TOTAL DOS RECURSOS NÃO VINCULADOS (I)";"siconfi-cor_DisponibilidadeDeCaixaLiquida";27227928,00
Ministério Público do Estado de São Paulo;35;SP;Ministério Público;45538936;"DISPONIBILIDADE DE CAIXA LÍQUIDA (ANTES DA INSCRIÇÃO EM RESTOS A PAGAR NÃO PROCESSADOS DO EXERCÍCIO) (f)=(a-(b+c+d+e))";"Outros Recursos Não Vinculados";"siconfi-cor_DisponibilidadeDeCaixaLiquida";27227928,00
Ministério Público do Estado de São Paulo;35;SP;Ministério Público;45538936;"DISPONIBILIDADE DE CAIXA LÍQUIDA (ANTES DA INSCRIÇÃO EM RESTOS A PAGAR NÃO PROCESSADOS DO EXERCÍCIO) (f)=(a-(b+c+d+e))";"TOTAL DOS RECURSOS VINCULADOS (II)";"siconfi-cor_DisponibilidadeDeCaixaLiquida";301947667,56
Ministério Público do Estado de São Paulo;35;SP;Ministério Público;45538936;"DISPONIBILIDADE DE CAIXA LÍQUIDA (ANTES DA INSCRIÇÃO EM RESTOS A PAGAR NÃO PROCESSADOS DO EXERCÍCIO) (f)=(a-(b+c+d+e))";"Outros Recursos Vinculados";"siconfi-cor_DisponibilidadeDeCaixaLiquida";301947667,56
Ministério Público do Estado de São Paulo;35;SP;Ministério Público;45538936;"DISPONIBILIDADE DE CAIXA LÍQUIDA (ANTES DA INSCRIÇÃO EM RESTOS A PAGAR NÃO PROCESSADOS DO EXERCÍCIO) (f)=(a-(b+c+d+e))";"TOTAL (III) = (I + II)";"siconfi-cor_DisponibilidadeDeCaixaLiquida";329175595,56
Ministério Público do Estado de São Paulo;35;SP;Ministério Público;45538936;"RESTOS A PAGAR EMPENHADOS E NÃO LIQUIDADOS DO EXERCÍCIO (g)";"TOTAL DOS RECURSOS NÃO VINCULADOS (I)";"siconfi-cor_RestosAPagarEmpenhadosENaoLiquidadosDoExercicio";2580135,8
Ministério Público do Estado de São Paulo;35;SP;Ministério Público;45538936;"RESTOS A PAGAR EMPENHADOS E NÃO LIQUIDADOS DO EXERCÍCIO (g)";"Outros Recursos Não Vinculados";"siconfi-cor_RestosAPagarEmpenhadosENaoLiquidadosDoExercicio";2580135,8
Ministério Público do Estado de São Paulo;35;SP;Ministério Público;45538936;"RESTOS A PAGAR EMPENHADOS E NÃO LIQUIDADOS DO EXERCÍCIO (g)";"TOTAL DOS RECURSOS VINCULADOS (II)";"siconfi-cor_RestosAPagarEmpenhadosENaoLiquidadosDoExercicio";22799689,77
Ministério Público do Estado de São Paulo;35;SP;Ministério Público;45538936;"RESTOS A PAGAR EMPENHADOS E NÃO LIQUIDADOS DO EXERCÍCIO (g)";"Outros Recursos Vinculados";"siconfi-cor_RestosAPagarEmpenhadosENaoLiquidadosDoExercicio";22799689,77
Ministério Público do Estado de São Paulo;35;SP;Ministério Público;45538936;"RESTOS A PAGAR EMPENHADOS E NÃO LIQUIDADOS DO EXERCÍCIO (g)";"TOTAL (III) = (I + II)";"siconfi-cor_RestosAPagarEmpenhadosENaoLiquidadosDoExercicio";25379825,57
