arquivo_origem;ano_origem;tipo_base;Exercício: 2019;;;;;;;;
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;Até o 2º Quadrimestre;LIMITE DEFINIDO POR RESOLUÇÃO DO SENADO FEDERAL;siconfi-cor_LimiteDefinidoPorResolucaoDoSenadoFederal;311820185663.72
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;Até o 2º Quadrimestre;LIMITE DE ALERTA (inciso III do § 1º do art. 59 da LRF);siconfi-cor_LimiteDeAlerta;280638167097.35
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;Até o 2º Quadrimestre;Precatórios Anteriores a 05/05/2000;siconfi-cor_PrecatoriosAnterioresA05052000;245907000
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;Até o 2º Quadrimestre;Passivo Atuarial;siconfi-cor_RGF2DividaConsolidadaPrevidenciariaPassivoAtuarial;839031889732
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;Até o 2º Quadrimestre;Depósitos e Consignações Sem Contrapartida;siconfi-cor_Depositos;21060880835.89
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;Até o 2º Quadrimestre;RP Não-Processados;siconfi-cor_RPNaoProcessadosDeExerciciosAnteriores;3006255732.44
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;Até o 2º Quadrimestre;Dívida Contratual de PPP;siconfi-cor_DividaContratualDePPP;1549987619.05
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;Até o 2º Quadrimestre;Apropriação de Depósitos Judiciais - LC 151/2015;siconfi-cor_ApropriacaoDeDepositosJudiciais;14040653250.62
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;Até o 3º Quadrimestre;DÍVIDA CONSOLIDADA - DC (I);siconfi-cor_DividaConsolidada;312714949770.04
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;Até o 3º Quadrimestre;Dívida Contratual;siconfi-cor_DividaContratual;288847125071
